Sexo;Comunidad autónoma/provincia;Ciclo formativo (1);Total
AMBOS SEXOS;00 TOTAL;00 TOTAL;19.964
AMBOS SEXOS;00 TOTAL;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;42
AMBOS SEXOS;00 TOTAL;Acceso y Conservación en Instalaciones Deportivas;42
AMBOS SEXOS;00 TOTAL;02 ADMINISTRACIÓN Y GESTIÓN;3.398
AMBOS SEXOS;00 TOTAL;Servicios administrativos;3.398
AMBOS SEXOS;00 TOTAL;03 AGRARIA;1.218
AMBOS SEXOS;00 TOTAL;Actividades agropecuarias;76
AMBOS SEXOS;00 TOTAL;Agro-jardinería y composiciones florales;995
AMBOS SEXOS;00 TOTAL;Aprovechamientos forestales;147
AMBOS SEXOS;00 TOTAL;04 ARTES GRÁFICAS;202
AMBOS SEXOS;00 TOTAL;Artes gráficas;202
AMBOS SEXOS;00 TOTAL;06 COMERCIO Y MARKETING;1.321
AMBOS SEXOS;00 TOTAL;Servicios comerciales;1.321
AMBOS SEXOS;00 TOTAL;07 EDIFICACIÓN Y OBRA CIVIL;159
AMBOS SEXOS;00 TOTAL;Reforma y mantenimiento de edificios;159
AMBOS SEXOS;00 TOTAL;08 ELECTRICIDAD Y ELECTRÓNICA;2.577
AMBOS SEXOS;00 TOTAL;Electricidad y electrónica;2.483
AMBOS SEXOS;00 TOTAL;Instalaciones electrotécnicas y mecánica;94
AMBOS SEXOS;00 TOTAL;10 FABRICACIÓN MECÁNICA;1.286
AMBOS SEXOS;00 TOTAL;Fabricación de elementos metálicos;301
AMBOS SEXOS;00 TOTAL;Fabricación y montaje;985
AMBOS SEXOS;00 TOTAL;11 HOSTELERÍA Y TURISMO;1.757
AMBOS SEXOS;00 TOTAL;Actividades de panadería y pastelería;102
AMBOS SEXOS;00 TOTAL;Alojamiento y lavandería;128
AMBOS SEXOS;00 TOTAL;Cocina y restauración;1.527
AMBOS SEXOS;00 TOTAL;12 IMAGEN PERSONAL;1.788
AMBOS SEXOS;00 TOTAL;Peluquería y estética;1.788
AMBOS SEXOS;00 TOTAL;14 INDUSTRIAS ALIMENTARIAS;157
AMBOS SEXOS;00 TOTAL;Industrias alimentarias;157
AMBOS SEXOS;00 TOTAL;16 INFORMÁTICA Y COMUNICACIONES;3.460
AMBOS SEXOS;00 TOTAL;Informática de oficina;1.446
AMBOS SEXOS;00 TOTAL;Informática y comunicaciones;2.014
AMBOS SEXOS;00 TOTAL;17 INSTALACIÓN Y MANTENIMIENTO;155
AMBOS SEXOS;00 TOTAL;Mantenimiento de viviendas;155
AMBOS SEXOS;00 TOTAL;18 MADERA, MUEBLE Y CORCHO;413
AMBOS SEXOS;00 TOTAL;Carpintería y mueble;413
AMBOS SEXOS;00 TOTAL;19 MARÍTIMO-PESQUERA;7
AMBOS SEXOS;00 TOTAL;Actividades marítimo-pesqueras;7
AMBOS SEXOS;00 TOTAL;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;137
AMBOS SEXOS;00 TOTAL;Actividades domésticas y limpieza de edificios;137
AMBOS SEXOS;00 TOTAL;24 TEXTIL, CONFECCIÓN Y PIEL;109
AMBOS SEXOS;00 TOTAL;Arreglo y reparación de artículos textiles y de piel;73
