Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;00 TOTAL;00 TOTAL;141.223
AMBOS SEXOS;00 TOTAL;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;10.935
AMBOS SEXOS;00 TOTAL;Enseñanza y animación sociodeportiva;8.174
AMBOS SEXOS;00 TOTAL;Acondicionamiento físico;2.761
AMBOS SEXOS;00 TOTAL;02 ADMINISTRACIÓN Y GESTIÓN;17.334
AMBOS SEXOS;00 TOTAL;Administración y finanzas;15.084
AMBOS SEXOS;00 TOTAL;Asistencia a la dirección;2.250
AMBOS SEXOS;00 TOTAL;03 AGRARIA;2.625
AMBOS SEXOS;00 TOTAL;Ganadería y asistencia en sanidad animal;520
AMBOS SEXOS;00 TOTAL;Gestión forestal y del medio natural;1.436
AMBOS SEXOS;00 TOTAL;Paisajismo y medio rural;669
AMBOS SEXOS;00 TOTAL;04 ARTES GRÁFICAS;863
AMBOS SEXOS;00 TOTAL;Diseño y edición de publicaciones impresas y multimedia;650
AMBOS SEXOS;00 TOTAL;Diseño y gestión de la producción gráfica;213
AMBOS SEXOS;00 TOTAL;05 ARTES Y ARTESANÍAS;27
AMBOS SEXOS;00 TOTAL;Artista fallero y construcción de escenografías;27
AMBOS SEXOS;00 TOTAL;06 COMERCIO Y MARKETING;10.121
AMBOS SEXOS;00 TOTAL;Comercio internacional;2.650
AMBOS SEXOS;00 TOTAL;Gestión de ventas y espacios comerciales;2.003
AMBOS SEXOS;00 TOTAL;Marketing y publicidad;3.922
AMBOS SEXOS;00 TOTAL;Transporte y logística;1.546
AMBOS SEXOS;00 TOTAL;07 EDIFICACIÓN Y OBRA CIVIL;1.097
AMBOS SEXOS;00 TOTAL;Organización y control de obras de construcción;59
AMBOS SEXOS;00 TOTAL;Proyectos de edificación;761
AMBOS SEXOS;00 TOTAL;Proyectos de obra civil;277
AMBOS SEXOS;00 TOTAL;08 ELECTRICIDAD Y ELECTRÓNICA;7.612
AMBOS SEXOS;00 TOTAL;Automatización y robótica industrial;2.672
AMBOS SEXOS;00 TOTAL;Electromedicina clínica;218
AMBOS SEXOS;00 TOTAL;Mantenimiento electrónico;941
AMBOS SEXOS;00 TOTAL;Sistemas de telecomunicaciones e informáticos;1.735
AMBOS SEXOS;00 TOTAL;Sistemas electrotécnicos y automatizados;2.046
AMBOS SEXOS;00 TOTAL;09 ENERGÍA Y AGUA;874
AMBOS SEXOS;00 TOTAL;Eficiencia energética y energía solar térmica;305
AMBOS SEXOS;00 TOTAL;Energías renovables;487
AMBOS SEXOS;00 TOTAL;Centrales eléctricas;14
AMBOS SEXOS;00 TOTAL;Gestión de agua;68
AMBOS SEXOS;00 TOTAL;10 FABRICACIÓN MECÁNICA;3.067
AMBOS SEXOS;00 TOTAL;Construcciones metálicas;450
AMBOS SEXOS;00 TOTAL;Diseño en fabricación mecánica;760
AMBOS SEXOS;00 TOTAL;Óptica de anteojería (LOGSE);102
AMBOS SEXOS;00 TOTAL;Programación de la producción en fabricación mecánica;1.727
AMBOS SEXOS;00 TOTAL;Programación de la producción en moldeo de metales y polímeros;28
AMBOS SEXOS;00 TOTAL;11 HOSTELERÍA Y TURISMO;6.004
AMBOS SEXOS;00 TOTAL;Agencias de viajes y gestión de eventos;966
AMBOS SEXOS;00 TOTAL;Dirección de cocina;1.888
AMBOS SEXOS;00 TOTAL;Dirección de servicios de restauración;515
AMBOS SEXOS;00 TOTAL;Gestión de alojamientos turísticos;1.347
AMBOS SEXOS;00 TOTAL;Guía, información y asistencias turísticas;1.288
AMBOS SEXOS;00 TOTAL;12 IMAGEN PERSONAL;3.089
AMBOS SEXOS;00 TOTAL;Asesoría de imagen personal y corporativa;664
AMBOS SEXOS;00 TOTAL;Caracterización y maquillaje profesional;372
AMBOS SEXOS;00 TOTAL;Estética integral y bienestar;1.595
AMBOS SEXOS;00 TOTAL;Estilismo y dirección de peluquería;443
AMBOS SEXOS;00 TOTAL;Termalismo y bienestar;15
AMBOS SEXOS;00 TOTAL;13 IMAGEN Y SONIDO;6.249
AMBOS SEXOS;00 TOTAL;Animaciones 3D, juegos y entornos interactivos;1.499
AMBOS SEXOS;00 TOTAL;Iluminación, captación y tratamiento de Imagen;1.246
AMBOS SEXOS;00 TOTAL;Producción de audiovisuales y espectáculos;687
AMBOS SEXOS;00 TOTAL;Realización de proyectos de audiovisuales y espectáculos;1.726
AMBOS SEXOS;00 TOTAL;Sonido para audiovisuales y espectáculos;1.025
AMBOS SEXOS;00 TOTAL;Imagen y sonido sin distribuir (para centros extranjeros);66
AMBOS SEXOS;00 TOTAL;14 INDUSTRIAS ALIMENTARIAS;708
AMBOS SEXOS;00 TOTAL;Procesos y calidad en la industria alimentaria;459
AMBOS SEXOS;00 TOTAL;Vitivinicultura;249
AMBOS SEXOS;00 TOTAL;16 INFORMÁTICA Y COMUNICACIONES;14.698
AMBOS SEXOS;00 TOTAL;Administración de sistemas informáticos en red;4.970
AMBOS SEXOS;00 TOTAL;Desarrollo de aplicaciones multiplataforma;5.443
AMBOS SEXOS;00 TOTAL;Desarrollo de aplicaciones web;4.270
AMBOS SEXOS;00 TOTAL;Informatica y comunicaciones sin distribuir (para centros extranjeros);15
AMBOS SEXOS;00 TOTAL;17 INSTALACIÓN Y MANTENIMIENTO;3.214
AMBOS SEXOS;00 TOTAL;Desarrollo de proyectos de instalaciones térmicas y de fluidos;44
AMBOS SEXOS;00 TOTAL;Mantenimiento de instalaciones térmicas y de fluidos;495
AMBOS SEXOS;00 TOTAL;Mecatrónica industrial;2.675
AMBOS SEXOS;00 TOTAL;18 MADERA, MUEBLE Y CORCHO;259
AMBOS SEXOS;00 TOTAL;Diseño y amueblamiento;259
AMBOS SEXOS;00 TOTAL;19 MARÍTIMO-PESQUERA;707
AMBOS SEXOS;00 TOTAL;Acuicultura;90
AMBOS SEXOS;00 TOTAL;Organización del mantenimiento de maquinaria de buques y embarcaciones;284
AMBOS SEXOS;00 TOTAL;Transporte marítimo y pesca de altura;333
AMBOS SEXOS;00 TOTAL;20 QUÍMICA;2.302
AMBOS SEXOS;00 TOTAL;Fabricación de Productos Farmaceuticos;333
AMBOS SEXOS;00 TOTAL;Laboratorio de análisis y de control de calidad;1.501
AMBOS SEXOS;00 TOTAL;Química industrial;468
AMBOS SEXOS;00 TOTAL;21 SANIDAD;21.912
AMBOS SEXOS;00 TOTAL;Anatomía patológica y citodiagnostico;2.716
AMBOS SEXOS;00 TOTAL;Audiología protésica;483
AMBOS SEXOS;00 TOTAL;Dietética (LOGSE);2.281
AMBOS SEXOS;00 TOTAL;Documentación y administración sanitaria;1.342
AMBOS SEXOS;00 TOTAL;Higiene bucodental;3.815
AMBOS SEXOS;00 TOTAL;Imagen para el diagnóstico y medicina nuclear;4.248
AMBOS SEXOS;00 TOTAL;Laboratorio clinico y biomédico;4.618
AMBOS SEXOS;00 TOTAL;Ortoprótesis y productos de apoyo;129
AMBOS SEXOS;00 TOTAL;Prótesis dentales;1.308
AMBOS SEXOS;00 TOTAL;Radioterampia y dosimetría;972
AMBOS SEXOS;00 TOTAL;22 SEGURIDAD Y MEDIO AMBIENTE;2.030
AMBOS SEXOS;00 TOTAL;Coordinación de emergencias y protección civil;307
AMBOS SEXOS;00 TOTAL;Educación y control ambiental;307
AMBOS SEXOS;00 TOTAL;Prevención de riesgos profesionales (LOGSE);730
AMBOS SEXOS;00 TOTAL;Química y salud ambiental;686
AMBOS SEXOS;00 TOTAL;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;20.546
AMBOS SEXOS;00 TOTAL;Animación sociocultural y turística;1.208
AMBOS SEXOS;00 TOTAL;Educación infantil;11.156
AMBOS SEXOS;00 TOTAL;Integración social;7.020
AMBOS SEXOS;00 TOTAL;Mediación comunicativa;681
AMBOS SEXOS;00 TOTAL;Promoción de igualdad de género;481
AMBOS SEXOS;00 TOTAL;24 TEXTIL, CONFECCIÓN Y PIEL;606
AMBOS SEXOS;00 TOTAL;Diseño y producción de calzado y complementos;19
AMBOS SEXOS;00 TOTAL;Patronaje y moda;466
AMBOS SEXOS;00 TOTAL;Vestuario a medida y de espectáculos;116
AMBOS SEXOS;00 TOTAL;Diseño Técnico en Textil y Piel;5
AMBOS SEXOS;00 TOTAL;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;4.324
AMBOS SEXOS;00 TOTAL;Automoción;3.658
AMBOS SEXOS;00 TOTAL;Mantenimiento Aeromecánico de Aviones con Motor de Turbina;455
AMBOS SEXOS;00 TOTAL;Mantenimiento de Sistemas Electrónicos y Aviónicos en Aeronaves;182
AMBOS SEXOS;00 TOTAL;Mantenimiento Aeromecánico de Helicópteros con Motor de Pistón;6
AMBOS SEXOS;00 TOTAL;Mantenimiento Aeromecánico de Helicópteros con Motor de Turbina;23
AMBOS SEXOS;00 TOTAL;26 VIDRIO Y CERÁMICA;20
AMBOS SEXOS;00 TOTAL;Desarrollo y fabricación de productos cerámicos;20
AMBOS SEXOS;01 ANDALUCÍA;00 TOTAL;27.802
AMBOS SEXOS;01 ANDALUCÍA;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;2.702
AMBOS SEXOS;01 ANDALUCÍA;Enseñanza y animación sociodeportiva;1.929
AMBOS SEXOS;01 ANDALUCÍA;Acondicionamiento físico;773
AMBOS SEXOS;01 ANDALUCÍA;02 ADMINISTRACIÓN Y GESTIÓN;3.732
AMBOS SEXOS;01 ANDALUCÍA;Administración y finanzas;3.215
AMBOS SEXOS;01 ANDALUCÍA;Asistencia a la dirección;517
AMBOS SEXOS;01 ANDALUCÍA;03 AGRARIA;608
AMBOS SEXOS;01 ANDALUCÍA;Ganadería y asistencia en sanidad animal;85
AMBOS SEXOS;01 ANDALUCÍA;Gestión forestal y del medio natural;291
AMBOS SEXOS;01 ANDALUCÍA;Paisajismo y medio rural;232
AMBOS SEXOS;01 ANDALUCÍA;04 ARTES GRÁFICAS;116
AMBOS SEXOS;01 ANDALUCÍA;Diseño y edición de publicaciones impresas y multimedia;98
AMBOS SEXOS;01 ANDALUCÍA;Diseño y gestión de la producción gráfica;18
AMBOS SEXOS;01 ANDALUCÍA;05 ARTES Y ARTESANÍAS;0
AMBOS SEXOS;01 ANDALUCÍA;Artista fallero y construcción de escenografías;0
AMBOS SEXOS;01 ANDALUCÍA;06 COMERCIO Y MARKETING;1.416
AMBOS SEXOS;01 ANDALUCÍA;Comercio internacional;411
AMBOS SEXOS;01 ANDALUCÍA;Gestión de ventas y espacios comerciales;330
AMBOS SEXOS;01 ANDALUCÍA;Marketing y publicidad;483
AMBOS SEXOS;01 ANDALUCÍA;Transporte y logística;192
AMBOS SEXOS;01 ANDALUCÍA;07 EDIFICACIÓN Y OBRA CIVIL;240
AMBOS SEXOS;01 ANDALUCÍA;Organización y control de obras de construcción;19
AMBOS SEXOS;01 ANDALUCÍA;Proyectos de edificación;154
AMBOS SEXOS;01 ANDALUCÍA;Proyectos de obra civil;67
AMBOS SEXOS;01 ANDALUCÍA;08 ELECTRICIDAD Y ELECTRÓNICA;1.134
AMBOS SEXOS;01 ANDALUCÍA;Automatización y robótica industrial;241
AMBOS SEXOS;01 ANDALUCÍA;Electromedicina clínica;11
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento electrónico;157
AMBOS SEXOS;01 ANDALUCÍA;Sistemas de telecomunicaciones e informáticos;324
AMBOS SEXOS;01 ANDALUCÍA;Sistemas electrotécnicos y automatizados;401
AMBOS SEXOS;01 ANDALUCÍA;09 ENERGÍA Y AGUA;124
AMBOS SEXOS;01 ANDALUCÍA;Eficiencia energética y energía solar térmica;66
AMBOS SEXOS;01 ANDALUCÍA;Energías renovables;49
AMBOS SEXOS;01 ANDALUCÍA;Centrales eléctricas;0
AMBOS SEXOS;01 ANDALUCÍA;Gestión de agua;9
AMBOS SEXOS;01 ANDALUCÍA;10 FABRICACIÓN MECÁNICA;251
AMBOS SEXOS;01 ANDALUCÍA;Construcciones metálicas;81
AMBOS SEXOS;01 ANDALUCÍA;Diseño en fabricación mecánica;32
AMBOS SEXOS;01 ANDALUCÍA;Óptica de anteojería (LOGSE);19
AMBOS SEXOS;01 ANDALUCÍA;Programación de la producción en fabricación mecánica;108
AMBOS SEXOS;01 ANDALUCÍA;Programación de la producción en moldeo de metales y polímeros;11
AMBOS SEXOS;01 ANDALUCÍA;11 HOSTELERÍA Y TURISMO;1.288
AMBOS SEXOS;01 ANDALUCÍA;Agencias de viajes y gestión de eventos;197
AMBOS SEXOS;01 ANDALUCÍA;Dirección de cocina;351
AMBOS SEXOS;01 ANDALUCÍA;Dirección de servicios de restauración;100
AMBOS SEXOS;01 ANDALUCÍA;Gestión de alojamientos turísticos;286
AMBOS SEXOS;01 ANDALUCÍA;Guía, información y asistencias turísticas;354
AMBOS SEXOS;01 ANDALUCÍA;12 IMAGEN PERSONAL;595
AMBOS SEXOS;01 ANDALUCÍA;Asesoría de imagen personal y corporativa;113
AMBOS SEXOS;01 ANDALUCÍA;Caracterización y maquillaje profesional;78
AMBOS SEXOS;01 ANDALUCÍA;Estética integral y bienestar;320
AMBOS SEXOS;01 ANDALUCÍA;Estilismo y dirección de peluquería;84
AMBOS SEXOS;01 ANDALUCÍA;Termalismo y bienestar;0
AMBOS SEXOS;01 ANDALUCÍA;13 IMAGEN Y SONIDO;1.048
AMBOS SEXOS;01 ANDALUCÍA;Animaciones 3D, juegos y entornos interactivos;232
AMBOS SEXOS;01 ANDALUCÍA;Iluminación, captación y tratamiento de Imagen;248
AMBOS SEXOS;01 ANDALUCÍA;Producción de audiovisuales y espectáculos;72
AMBOS SEXOS;01 ANDALUCÍA;Realización de proyectos de audiovisuales y espectáculos;287
AMBOS SEXOS;01 ANDALUCÍA;Sonido para audiovisuales y espectáculos;209
AMBOS SEXOS;01 ANDALUCÍA;Imagen y sonido sin distribuir (para centros extranjeros);0
AMBOS SEXOS;01 ANDALUCÍA;14 INDUSTRIAS ALIMENTARIAS;120
AMBOS SEXOS;01 ANDALUCÍA;Procesos y calidad en la industria alimentaria;79
AMBOS SEXOS;01 ANDALUCÍA;Vitivinicultura;41
AMBOS SEXOS;01 ANDALUCÍA;16 INFORMÁTICA Y COMUNICACIONES;2.497
AMBOS SEXOS;01 ANDALUCÍA;Administración de sistemas informáticos en red;803
AMBOS SEXOS;01 ANDALUCÍA;Desarrollo de aplicaciones multiplataforma;846
AMBOS SEXOS;01 ANDALUCÍA;Desarrollo de aplicaciones web;848
AMBOS SEXOS;01 ANDALUCÍA;Informatica y comunicaciones sin distribuir (para centros extranjeros);0
AMBOS SEXOS;01 ANDALUCÍA;17 INSTALACIÓN Y MANTENIMIENTO;296
AMBOS SEXOS;01 ANDALUCÍA;Desarrollo de proyectos de instalaciones térmicas y de fluidos;8
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de instalaciones térmicas y de fluidos;87
AMBOS SEXOS;01 ANDALUCÍA;Mecatrónica industrial;201
AMBOS SEXOS;01 ANDALUCÍA;18 MADERA, MUEBLE Y CORCHO;38
AMBOS SEXOS;01 ANDALUCÍA;Diseño y amueblamiento;38
AMBOS SEXOS;01 ANDALUCÍA;19 MARÍTIMO-PESQUERA;113
AMBOS SEXOS;01 ANDALUCÍA;Acuicultura;11
AMBOS SEXOS;01 ANDALUCÍA;Organización del mantenimiento de maquinaria de buques y embarcaciones;49
AMBOS SEXOS;01 ANDALUCÍA;Transporte marítimo y pesca de altura;53
AMBOS SEXOS;01 ANDALUCÍA;20 QUÍMICA;294
AMBOS SEXOS;01 ANDALUCÍA;Fabricación de Productos Farmaceuticos;24
AMBOS SEXOS;01 ANDALUCÍA;Laboratorio de análisis y de control de calidad;188
AMBOS SEXOS;01 ANDALUCÍA;Química industrial;82
AMBOS SEXOS;01 ANDALUCÍA;21 SANIDAD;6.080
AMBOS SEXOS;01 ANDALUCÍA;Anatomía patológica y citodiagnostico;805
AMBOS SEXOS;01 ANDALUCÍA;Audiología protésica;185
AMBOS SEXOS;01 ANDALUCÍA;Dietética (LOGSE);590
AMBOS SEXOS;01 ANDALUCÍA;Documentación y administración sanitaria;313
AMBOS SEXOS;01 ANDALUCÍA;Higiene bucodental;1.077
AMBOS SEXOS;01 ANDALUCÍA;Imagen para el diagnóstico y medicina nuclear;1.210
AMBOS SEXOS;01 ANDALUCÍA;Laboratorio clinico y biomédico;1.082
AMBOS SEXOS;01 ANDALUCÍA;Ortoprótesis y productos de apoyo;30
AMBOS SEXOS;01 ANDALUCÍA;Prótesis dentales;420
AMBOS SEXOS;01 ANDALUCÍA;Radioterampia y dosimetría;368
AMBOS SEXOS;01 ANDALUCÍA;22 SEGURIDAD Y MEDIO AMBIENTE;323
AMBOS SEXOS;01 ANDALUCÍA;Coordinación de emergencias y protección civil;0
AMBOS SEXOS;01 ANDALUCÍA;Educación y control ambiental;9
AMBOS SEXOS;01 ANDALUCÍA;Prevención de riesgos profesionales (LOGSE);149
AMBOS SEXOS;01 ANDALUCÍA;Química y salud ambiental;165
AMBOS SEXOS;01 ANDALUCÍA;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;4.242
AMBOS SEXOS;01 ANDALUCÍA;Animación sociocultural y turística;246
AMBOS SEXOS;01 ANDALUCÍA;Educación infantil;2.366
AMBOS SEXOS;01 ANDALUCÍA;Integración social;1.288
AMBOS SEXOS;01 ANDALUCÍA;Mediación comunicativa;256
AMBOS SEXOS;01 ANDALUCÍA;Promoción de igualdad de género;86
AMBOS SEXOS;01 ANDALUCÍA;24 TEXTIL, CONFECCIÓN Y PIEL;35
AMBOS SEXOS;01 ANDALUCÍA;Diseño y producción de calzado y complementos;0
AMBOS SEXOS;01 ANDALUCÍA;Patronaje y moda;35
AMBOS SEXOS;01 ANDALUCÍA;Vestuario a medida y de espectáculos;0
AMBOS SEXOS;01 ANDALUCÍA;Diseño Técnico en Textil y Piel;0
AMBOS SEXOS;01 ANDALUCÍA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;510
AMBOS SEXOS;01 ANDALUCÍA;Automoción;451
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento Aeromecánico de Aviones con Motor de Turbina;34
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de Sistemas Electrónicos y Aviónicos en Aeronaves;25
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento Aeromecánico de Helicópteros con Motor de Pistón;0
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento Aeromecánico de Helicópteros con Motor de Turbina;0
AMBOS SEXOS;01 ANDALUCÍA;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;01 ANDALUCÍA;Desarrollo y fabricación de productos cerámicos;0
AMBOS SEXOS;Almería;00 TOTAL;1.672
AMBOS SEXOS;Almería;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;172
AMBOS SEXOS;Almería;Enseñanza y animación sociodeportiva;92
AMBOS SEXOS;Almería;Acondicionamiento físico;80
AMBOS SEXOS;Almería;02 ADMINISTRACIÓN Y GESTIÓN;239
AMBOS SEXOS;Almería;Administración y finanzas;231
AMBOS SEXOS;Almería;Asistencia a la dirección;8
AMBOS SEXOS;Almería;03 AGRARIA;116
AMBOS SEXOS;Almería;Ganadería y asistencia en sanidad animal;0
AMBOS SEXOS;Almería;Gestión forestal y del medio natural;12
AMBOS SEXOS;Almería;Paisajismo y medio rural;104
AMBOS SEXOS;Almería;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Almería;Diseño y edición de publicaciones impresas y multimedia;0
AMBOS SEXOS;Almería;Diseño y gestión de la producción gráfica;0
AMBOS SEXOS;Almería;05 ARTES Y ARTESANÍAS;0
AMBOS SEXOS;Almería;Artista fallero y construcción de escenografías;0
AMBOS SEXOS;Almería;06 COMERCIO Y MARKETING;88
AMBOS SEXOS;Almería;Comercio internacional;40
AMBOS SEXOS;Almería;Gestión de ventas y espacios comerciales;18
AMBOS SEXOS;Almería;Marketing y publicidad;14
AMBOS SEXOS;Almería;Transporte y logística;16
AMBOS SEXOS;Almería;07 EDIFICACIÓN Y OBRA CIVIL;8
AMBOS SEXOS;Almería;Organización y control de obras de construcción;0
AMBOS SEXOS;Almería;Proyectos de edificación;5
AMBOS SEXOS;Almería;Proyectos de obra civil;3
AMBOS SEXOS;Almería;08 ELECTRICIDAD Y ELECTRÓNICA;39
AMBOS SEXOS;Almería;Automatización y robótica industrial;0
AMBOS SEXOS;Almería;Electromedicina clínica;0
AMBOS SEXOS;Almería;Mantenimiento electrónico;7
AMBOS SEXOS;Almería;Sistemas de telecomunicaciones e informáticos;14
AMBOS SEXOS;Almería;Sistemas electrotécnicos y automatizados;18
AMBOS SEXOS;Almería;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;Almería;Eficiencia energética y energía solar térmica;0
