Sexo;Comunidad autónoma (1);Familia profesional (2);Total
AMBOS SEXOS;TOTAL;ACTIVIDADES FÍSICAS Y DEPORTIVAS;85,6
AMBOS SEXOS;TOTAL;ADMINISTRACIÓN Y GESTIÓN;77,5
AMBOS SEXOS;TOTAL;AGRARIA;81,4
AMBOS SEXOS;TOTAL;ARTES GRÁFICAS;80,0
AMBOS SEXOS;TOTAL;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;TOTAL;COMERCIO Y MARKETING;81,6
AMBOS SEXOS;TOTAL;EDIFICACIÓN Y OBRA CIVIL;81,5
AMBOS SEXOS;TOTAL;ELECTRICIDAD Y ELECTRÓNICA;73,8
AMBOS SEXOS;TOTAL;ENERGÍA Y AGUA;65,5
AMBOS SEXOS;TOTAL;FABRICACIÓN MECÁNICA;75,6
AMBOS SEXOS;TOTAL;HOSTELERÍA Y TURISMO;74,6
AMBOS SEXOS;TOTAL;IMAGEN PERSONAL;79,9
AMBOS SEXOS;TOTAL;IMAGEN Y SONIDO;83,4
AMBOS SEXOS;TOTAL;INDUSTRIAS ALIMENTARIAS;76,9
AMBOS SEXOS;TOTAL;INDUSTRIAS EXTRACTIVAS;88,0
AMBOS SEXOS;TOTAL;INFORMÁTICA Y COMUNICACIONES;80,8
AMBOS SEXOS;TOTAL;INSTALACIÓN Y MANTENIMIENTO;75,3
AMBOS SEXOS;TOTAL;MADERA, MUEBLE Y CORCHO;76,4
AMBOS SEXOS;TOTAL;MARÍTIMO-PESQUERA;81,4
AMBOS SEXOS;TOTAL;QUÍMICA;74,7
AMBOS SEXOS;TOTAL;SANIDAD;85,4
AMBOS SEXOS;TOTAL;SEGURIDAD Y MEDIO AMBIENTE;79,4
AMBOS SEXOS;TOTAL;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;86,9
AMBOS SEXOS;TOTAL;TEXTIL, CONFECCIÓN Y PIEL;80,0
AMBOS SEXOS;TOTAL;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;73,0
AMBOS SEXOS;TOTAL;VIDRIO Y CERÁMICA;74,4
AMBOS SEXOS;Andalucía;ACTIVIDADES FÍSICAS Y DEPORTIVAS;88,5
AMBOS SEXOS;Andalucía;ADMINISTRACIÓN Y GESTIÓN;74,0
AMBOS SEXOS;Andalucía;AGRARIA;83,5
AMBOS SEXOS;Andalucía;ARTES GRÁFICAS;80,9
AMBOS SEXOS;Andalucía;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Andalucía;COMERCIO Y MARKETING;79,3
AMBOS SEXOS;Andalucía;EDIFICACIÓN Y OBRA CIVIL;75,2
AMBOS SEXOS;Andalucía;ELECTRICIDAD Y ELECTRÓNICA;70,8
