Sexo;Comunidad autónoma (1);Familia profesional (2);Total
AMBOS SEXOS;TOTAL;ACTIVIDADES FÍSICAS Y DEPORTIVAS;92,2
AMBOS SEXOS;TOTAL;ADMINISTRACIÓN Y GESTIÓN;85,3
AMBOS SEXOS;TOTAL;AGRARIA;84,4
AMBOS SEXOS;TOTAL;ARTES GRÁFICAS;87,3
AMBOS SEXOS;TOTAL;ARTES Y ARTESANÍAS;78,8
AMBOS SEXOS;TOTAL;COMERCIO Y MARKETING;86,1
AMBOS SEXOS;TOTAL;EDIFICACIÓN Y OBRA CIVIL;77,2
AMBOS SEXOS;TOTAL;ELECTRICIDAD Y ELECTRÓNICA;82,0
AMBOS SEXOS;TOTAL;ENERGÍA Y AGUA;81,7
AMBOS SEXOS;TOTAL;FABRICACIÓN MECÁNICA;84,5
AMBOS SEXOS;TOTAL;HOSTELERÍA Y TURISMO;83,2
AMBOS SEXOS;TOTAL;IMAGEN PERSONAL;88,2
AMBOS SEXOS;TOTAL;IMAGEN Y SONIDO;89,5
AMBOS SEXOS;TOTAL;INDUSTRIAS ALIMENTARIAS;82,0
AMBOS SEXOS;TOTAL;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;TOTAL;INFORMÁTICA Y COMUNICACIONES;81,5
AMBOS SEXOS;TOTAL;INSTALACIÓN Y MANTENIMIENTO;83,6
AMBOS SEXOS;TOTAL;MADERA, MUEBLE Y CORCHO;81,5
AMBOS SEXOS;TOTAL;MARÍTIMO-PESQUERA;88,8
AMBOS SEXOS;TOTAL;QUÍMICA;83,0
AMBOS SEXOS;TOTAL;SANIDAD;91,8
AMBOS SEXOS;TOTAL;SEGURIDAD Y MEDIO AMBIENTE;83,8
AMBOS SEXOS;TOTAL;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;90,6
AMBOS SEXOS;TOTAL;TEXTIL, CONFECCIÓN Y PIEL;86,4
AMBOS SEXOS;TOTAL;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;85,5
AMBOS SEXOS;TOTAL;VIDRIO Y CERÁMICA;67,7
AMBOS SEXOS;Andalucía;ACTIVIDADES FÍSICAS Y DEPORTIVAS;96,5
AMBOS SEXOS;Andalucía;ADMINISTRACIÓN Y GESTIÓN;88,6
AMBOS SEXOS;Andalucía;AGRARIA;87,5
AMBOS SEXOS;Andalucía;ARTES GRÁFICAS;89,5
AMBOS SEXOS;Andalucía;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Andalucía;COMERCIO Y MARKETING;90,4
AMBOS SEXOS;Andalucía;EDIFICACIÓN Y OBRA CIVIL;77,4
AMBOS SEXOS;Andalucía;ELECTRICIDAD Y ELECTRÓNICA;81,5
AMBOS SEXOS;Andalucía;ENERGÍA Y AGUA;83,9
AMBOS SEXOS;Andalucía;FABRICACIÓN MECÁNICA;82,1
AMBOS SEXOS;Andalucía;HOSTELERÍA Y TURISMO;86,2
AMBOS SEXOS;Andalucía;IMAGEN PERSONAL;92,4
AMBOS SEXOS;Andalucía;IMAGEN Y SONIDO;91,0
AMBOS SEXOS;Andalucía;INDUSTRIAS ALIMENTARIAS;83,4
AMBOS SEXOS;Andalucía;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Andalucía;INFORMÁTICA Y COMUNICACIONES;82,9
AMBOS SEXOS;Andalucía;INSTALACIÓN Y MANTENIMIENTO;81,5
AMBOS SEXOS;Andalucía;MADERA, MUEBLE Y CORCHO;83,3
AMBOS SEXOS;Andalucía;MARÍTIMO-PESQUERA;91,6
AMBOS SEXOS;Andalucía;QUÍMICA;85,0
AMBOS SEXOS;Andalucía;SANIDAD;97,4
AMBOS SEXOS;Andalucía;SEGURIDAD Y MEDIO AMBIENTE;89,4
AMBOS SEXOS;Andalucía;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;95,5
AMBOS SEXOS;Andalucía;TEXTIL, CONFECCIÓN Y PIEL;91,7
AMBOS SEXOS;Andalucía;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;88,7
AMBOS SEXOS;Andalucía;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Aragón;ACTIVIDADES FÍSICAS Y DEPORTIVAS;91,9
AMBOS SEXOS;Aragón;ADMINISTRACIÓN Y GESTIÓN;80,2
AMBOS SEXOS;Aragón;AGRARIA;81,3
AMBOS SEXOS;Aragón;ARTES GRÁFICAS;86,8
AMBOS SEXOS;Aragón;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Aragón;COMERCIO Y MARKETING;74,1
AMBOS SEXOS;Aragón;EDIFICACIÓN Y OBRA CIVIL;82,5
AMBOS SEXOS;Aragón;ELECTRICIDAD Y ELECTRÓNICA;84,1
AMBOS SEXOS;Aragón;ENERGÍA Y AGUA;89,1
AMBOS SEXOS;Aragón;FABRICACIÓN MECÁNICA;82,0
AMBOS SEXOS;Aragón;HOSTELERÍA Y TURISMO;79,2
AMBOS SEXOS;Aragón;IMAGEN PERSONAL;90,7
AMBOS SEXOS;Aragón;IMAGEN Y SONIDO;89,3
AMBOS SEXOS;Aragón;INDUSTRIAS ALIMENTARIAS;75,9
AMBOS SEXOS;Aragón;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Aragón;INFORMÁTICA Y COMUNICACIONES;81,1
AMBOS SEXOS;Aragón;INSTALACIÓN Y MANTENIMIENTO;87,6
AMBOS SEXOS;Aragón;MADERA, MUEBLE Y CORCHO;82,5
AMBOS SEXOS;Aragón;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Aragón;QUÍMICA;86,6
AMBOS SEXOS;Aragón;SANIDAD;83,9
AMBOS SEXOS;Aragón;SEGURIDAD Y MEDIO AMBIENTE;93,0
AMBOS SEXOS;Aragón;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;94,4
AMBOS SEXOS;Aragón;TEXTIL, CONFECCIÓN Y PIEL;92,7
AMBOS SEXOS;Aragón;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;86,3
AMBOS SEXOS;Aragón;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Asturias, Principado de;ACTIVIDADES FÍSICAS Y DEPORTIVAS;91,1
AMBOS SEXOS;Asturias, Principado de;ADMINISTRACIÓN Y GESTIÓN;81,4
AMBOS SEXOS;Asturias, Principado de;AGRARIA;85,7
AMBOS SEXOS;Asturias, Principado de;ARTES GRÁFICAS;65,9
