Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Total de alumnado que terminó,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,42.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Acceso y Conservación en Instalaciones Deportivas,42.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,02 ADMINISTRACIÓN Y GESTIÓN,3.398,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Servicios administrativos,3.398,BASICO
AMBOS SEXOS,Total de alumnado que terminó,03 AGRARIA,1.218,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Actividades agropecuarias,76.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Agro-jardinería y composiciones florales,995.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Aprovechamientos forestales,147.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,04 ARTES GRÁFICAS,202.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Artes gráficas,202.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,06 COMERCIO Y MARKETING,1.321,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Servicios comerciales,1.321,BASICO
AMBOS SEXOS,Total de alumnado que terminó,07 EDIFICACIÓN Y OBRA CIVIL,159.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Reforma y mantenimiento de edificios,159.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,08 ELECTRICIDAD Y ELECTRÓNICA,2.577,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Electricidad y electrónica,2.483,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Instalaciones electrotécnicas y mecánica,94.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,10 FABRICACIÓN MECÁNICA,1.286,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Fabricación de elementos metálicos,301.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Fabricación y montaje,985.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,11 HOSTELERÍA Y TURISMO,1.757,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Actividades de panadería y pastelería,102.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Alojamiento y lavandería,128.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Cocina y restauración,1.527,BASICO
AMBOS SEXOS,Total de alumnado que terminó,12 IMAGEN PERSONAL,1.788,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Peluquería y estética,1.788,BASICO
AMBOS SEXOS,Total de alumnado que terminó,14 INDUSTRIAS ALIMENTARIAS,157.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Industrias alimentarias,157.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,16 INFORMÁTICA Y COMUNICACIONES,3.46,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Informática de oficina,1.446,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Informática y comunicaciones,2.014,BASICO
AMBOS SEXOS,Total de alumnado que terminó,17 INSTALACIÓN Y MANTENIMIENTO,155.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Mantenimiento de viviendas,155.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,"18 MADERA, MUEBLE Y CORCHO",413.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Carpintería y mueble,413.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,19 MARÍTIMO-PESQUERA,7.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Actividades marítimo-pesqueras,7.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,137.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Actividades domésticas y limpieza de edificios,137.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,"24 TEXTIL, CONFECCIÓN Y PIEL",109.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Arreglo y reparación de artículos textiles y de piel,73.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,Tapicería y cortinaje,36.0,BASICO
AMBOS SEXOS,Total de alumnado que terminó,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,1.757,BASICO
