Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Total de alumnado que terminó,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,5.3,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Guía en el medio natural y de tiempo libre,5.155,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Actividades ecuestres,145.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,02 ADMINISTRACIÓN Y GESTIÓN,13.734,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Gestión administrativa,13.72,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Administración y gestión (n.d.),14.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,03 AGRARIA,2.349,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Aprovechamiento y conservación del medio natural,812.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Jardinería y floristería,652.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Producción agroecológica,370.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Producción agropecuaria,515.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,04 ARTES GRÁFICAS,1.031,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Impresión gráfica,302.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Postimpresión y acabados gráficos,16.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Preimpresión digital,713.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,06 COMERCIO Y MARKETING,5.871,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Actividades comerciales,5.833,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Comercialización de productos alimentarios,38.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,07 EDIFICACIÓN Y OBRA CIVIL,316.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Construcción,85.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,"Obras de interior, decoración y rehabilitación",231.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,08 ELECTRICIDAD Y ELECTRÓNICA,7.13,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Instalaciones de telecomunicaciones,2.499,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Instalaciones eléctricas y automáticas,4.631,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,09 ENERGÍA Y AGUA,97.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Redes y estaciones de tratamiento de agua,97.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,10 FABRICACIÓN MECÁNICA,3.649,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Conformado por moldeo de metales y polímeros,36.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Joyería (LOGSE),31.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Mecanizado,2.083,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Soldadura y calderería,1.499,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,11 HOSTELERÍA Y TURISMO,4.272,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Cocina y gastronomía,3.165,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Servicios de restauración,1.107,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,12 IMAGEN PERSONAL,5.683,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Estética y belleza,3.009,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Peluquería y cosmética capilar,2.674,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,13 IMAGEN Y SONIDO,1.429,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,"Vídeo, disc-jockey y sonido",1.429,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,14 INDUSTRIAS ALIMENTARIAS,1.28,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Aceites de oliva y vinos,186.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Elaboración de productos alimenticios,214.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,"Panadería, repostería y confitería",880.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,15 INDUSTRIAS EXTRACTIVAS,58.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Excavaciones y sondeos,53.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,Piedra natural,5.0,MEDIO
AMBOS SEXOS,Total de alumnado que terminó,16 INFORMÁTICA Y COMUNICACIONES,11.372,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Sistemas microinformáticos y redes,11.372,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,17 INSTALACIÓN Y MANTENIMIENTO,3.582,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Instalaciones de producción de calor,504.0,MEDIO
