Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Total de alumnado que terminó,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,10.935,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Enseñanza y animación sociodeportiva,8.174,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Acondicionamiento físico,2.761,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,02 ADMINISTRACIÓN Y GESTIÓN,17.334,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Administración y finanzas,15.084,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Asistencia a la dirección,2.25,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,03 AGRARIA,2.625,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Ganadería y asistencia en sanidad animal,520.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Gestión forestal y del medio natural,1.436,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Paisajismo y medio rural,669.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,04 ARTES GRÁFICAS,863.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Diseño y edición de publicaciones impresas y multimedia,650.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Diseño y gestión de la producción gráfica,213.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,05 ARTES Y ARTESANÍAS,27.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Artista fallero y construcción de escenografías,27.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,06 COMERCIO Y MARKETING,10.121,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Comercio internacional,2.65,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Gestión de ventas y espacios comerciales,2.003,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Marketing y publicidad,3.922,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Transporte y logística,1.546,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,07 EDIFICACIÓN Y OBRA CIVIL,1.097,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Organización y control de obras de construcción,59.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Proyectos de edificación,761.0,SUPERIOR
AMBOS SEXOS,Total de alumnado que terminó,Proyectos de obra civil,277.0,SUPERIOR
