Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;Total de alumnado que terminó;Total de alumnado que terminó;114.35
AMBOS SEXOS;Total de alumnado que terminó;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;5.3
AMBOS SEXOS;Total de alumnado que terminó;Guía en el medio natural y de tiempo libre;5.155
AMBOS SEXOS;Total de alumnado que terminó;Actividades ecuestres;145
AMBOS SEXOS;Total de alumnado que terminó;02 ADMINISTRACIÓN Y GESTIÓN;13.734
AMBOS SEXOS;Total de alumnado que terminó;Gestión administrativa;13.72
AMBOS SEXOS;Total de alumnado que terminó;Administración y gestión (n.d.);14
AMBOS SEXOS;Total de alumnado que terminó;03 AGRARIA;2.349
AMBOS SEXOS;Total de alumnado que terminó;Aprovechamiento y conservación del medio natural;812
AMBOS SEXOS;Total de alumnado que terminó;Jardinería y floristería;652
AMBOS SEXOS;Total de alumnado que terminó;Producción agroecológica;370
AMBOS SEXOS;Total de alumnado que terminó;Producción agropecuaria;515
AMBOS SEXOS;Total de alumnado que terminó;04 ARTES GRÁFICAS;1.031
AMBOS SEXOS;Total de alumnado que terminó;Impresión gráfica;302
AMBOS SEXOS;Total de alumnado que terminó;Postimpresión y acabados gráficos;16
AMBOS SEXOS;Total de alumnado que terminó;Preimpresión digital;713
AMBOS SEXOS;Total de alumnado que terminó;06 COMERCIO Y MARKETING;5.871
AMBOS SEXOS;Total de alumnado que terminó;Actividades comerciales;5.833
AMBOS SEXOS;Total de alumnado que terminó;Comercialización de productos alimentarios;38
AMBOS SEXOS;Total de alumnado que terminó;07 EDIFICACIÓN Y OBRA CIVIL;316
AMBOS SEXOS;Total de alumnado que terminó;Construcción;85
AMBOS SEXOS;Total de alumnado que terminó;Obras de interior, decoración y rehabilitación;231
AMBOS SEXOS;Total de alumnado que terminó;08 ELECTRICIDAD Y ELECTRÓNICA;7.13
AMBOS SEXOS;Total de alumnado que terminó;Instalaciones de telecomunicaciones;2.499
AMBOS SEXOS;Total de alumnado que terminó;Instalaciones eléctricas y automáticas;4.631
AMBOS SEXOS;Total de alumnado que terminó;09 ENERGÍA Y AGUA;97
AMBOS SEXOS;Total de alumnado que terminó;Redes y estaciones de tratamiento de agua;97
AMBOS SEXOS;Total de alumnado que terminó;10 FABRICACIÓN MECÁNICA;3.649
AMBOS SEXOS;Total de alumnado que terminó;Conformado por moldeo de metales y polímeros;36
AMBOS SEXOS;Total de alumnado que terminó;Joyería (LOGSE);31
AMBOS SEXOS;Total de alumnado que terminó;Mecanizado;2.083
AMBOS SEXOS;Total de alumnado que terminó;Soldadura y calderería;1.499
AMBOS SEXOS;Total de alumnado que terminó;11 HOSTELERÍA Y TURISMO;4.272
AMBOS SEXOS;Total de alumnado que terminó;Cocina y gastronomía;3.165
AMBOS SEXOS;Total de alumnado que terminó;Servicios de restauración;1.107
AMBOS SEXOS;Total de alumnado que terminó;12 IMAGEN PERSONAL;5.683
AMBOS SEXOS;Total de alumnado que terminó;Estética y belleza;3.009
AMBOS SEXOS;Total de alumnado que terminó;Peluquería y cosmética capilar;2.674
AMBOS SEXOS;Total de alumnado que terminó;13 IMAGEN Y SONIDO;1.429
AMBOS SEXOS;Total de alumnado que terminó;Vídeo, disc-jockey y sonido;1.429
AMBOS SEXOS;Total de alumnado que terminó;14 INDUSTRIAS ALIMENTARIAS;1.28
AMBOS SEXOS;Total de alumnado que terminó;Aceites de oliva y vinos;186
AMBOS SEXOS;Total de alumnado que terminó;Elaboración de productos alimenticios;214
AMBOS SEXOS;Total de alumnado que terminó;Panadería, repostería y confitería;880
AMBOS SEXOS;Total de alumnado que terminó;15 INDUSTRIAS EXTRACTIVAS;58
AMBOS SEXOS;Total de alumnado que terminó;Excavaciones y sondeos;53
AMBOS SEXOS;Total de alumnado que terminó;Piedra natural;5
AMBOS SEXOS;Total de alumnado que terminó;16 INFORMÁTICA Y COMUNICACIONES;11.372
AMBOS SEXOS;01 ANDALUCÍA;Sistemas microinformáticos y redes;11.372
AMBOS SEXOS;01 ANDALUCÍA;17 INSTALACIÓN Y MANTENIMIENTO;3.582
AMBOS SEXOS;01 ANDALUCÍA;Instalaciones de producción de calor;504
AMBOS SEXOS;01 ANDALUCÍA;Instalaciones frigoríficas y de climatización;970
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento electromecánico;2.108
AMBOS SEXOS;01 ANDALUCÍA;18 MADERA, MUEBLE Y CORCHO;670
AMBOS SEXOS;01 ANDALUCÍA;Carpintería y mueble;352
AMBOS SEXOS;01 ANDALUCÍA;Instalación y amueblamiento;318
AMBOS SEXOS;01 ANDALUCÍA;19 MARÍTIMO-PESQUERA;476
AMBOS SEXOS;01 ANDALUCÍA;Cultivos acuícolas;35
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento y control de la maquinaria de buques y embarcaciones;187
AMBOS SEXOS;01 ANDALUCÍA;Navegación y pesca de litoral;133
AMBOS SEXOS;01 ANDALUCÍA;Operaciones subacuáticas y hiperbáricas;121
AMBOS SEXOS;01 ANDALUCÍA;20 QUÍMICA;998
AMBOS SEXOS;01 ANDALUCÍA;Operaciones de laboratorio;799
AMBOS SEXOS;01 ANDALUCÍA;Planta química;199
AMBOS SEXOS;01 ANDALUCÍA;21 SANIDAD;28.573
AMBOS SEXOS;01 ANDALUCÍA;Cuidados auxiliares de enfermería (LOGSE);19.737
AMBOS SEXOS;01 ANDALUCÍA;Emergencias sanitarias;3.254
AMBOS SEXOS;01 ANDALUCÍA;Farmacia y parafarmacia;5.582
AMBOS SEXOS;01 ANDALUCÍA;22 SEGURIDAD Y MEDIO AMBIENTE;673
AMBOS SEXOS;01 ANDALUCÍA;Emergencias y protección civil;673
AMBOS SEXOS;01 ANDALUCÍA;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;7.512
AMBOS SEXOS;01 ANDALUCÍA;Atención a personas en situación de dependencia;7.512
AMBOS SEXOS;01 ANDALUCÍA;24 TEXTIL, CONFECCIÓN Y PIEL;490
