Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo,Sexo_cod,Comunidad autónoma_cod,Familia profesional_cod,nivel_educativo_cod,exitoso,cluster
AMBOS SEXOS,Andalucía,ACTIVIDADES FÍSICAS Y DEPORTIVAS,61.5,BASICO,0,0,0,0,0,0
AMBOS SEXOS,Andalucía,ADMINISTRACIÓN Y GESTIÓN,75.8,BASICO,0,0,1,0,0,0
AMBOS SEXOS,Andalucía,AGRARIA,73.5,BASICO,0,0,2,0,0,0
AMBOS SEXOS,Andalucía,ARTES GRÁFICAS,76.0,BASICO,0,0,3,0,0,0
AMBOS SEXOS,Andalucía,COMERCIO Y MARKETING,73.6,BASICO,0,0,5,0,0,0
AMBOS SEXOS,Andalucía,EDIFICACIÓN Y OBRA CIVIL,68.1,BASICO,0,0,6,0,0,0
AMBOS SEXOS,Andalucía,ELECTRICIDAD Y ELECTRÓNICA,73.7,BASICO,0,0,7,0,0,0
AMBOS SEXOS,Andalucía,FABRICACIÓN MECÁNICA,74.6,BASICO,0,0,9,0,0,0
AMBOS SEXOS,Andalucía,HOSTELERÍA Y TURISMO,72.7,BASICO,0,0,10,0,0,0
AMBOS SEXOS,Andalucía,IMAGEN PERSONAL,72.3,BASICO,0,0,11,0,0,0
AMBOS SEXOS,Andalucía,INDUSTRIAS ALIMENTARIAS,82.5,BASICO,0,0,13,0,1,0
AMBOS SEXOS,Andalucía,INFORMÁTICA Y COMUNICACIONES,74.9,BASICO,0,0,15,0,0,0
AMBOS SEXOS,Andalucía,"MADERA, MUEBLE Y CORCHO",68.9,BASICO,0,0,17,0,0,0
AMBOS SEXOS,Andalucía,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,76.6,BASICO,0,0,22,0,0,0
AMBOS SEXOS,Andalucía,"TEXTIL, CONFECCIÓN Y PIEL",68.2,BASICO,0,0,23,0,0,0
AMBOS SEXOS,Andalucía,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,69.9,BASICO,0,0,24,0,0,0
AMBOS SEXOS,Andalucía,VIDRIO Y CERÁMICA,72.2,BASICO,0,0,25,0,0,0
AMBOS SEXOS,Aragón,ADMINISTRACIÓN Y GESTIÓN,65.5,BASICO,0,1,1,0,0,0
AMBOS SEXOS,Aragón,AGRARIA,69.7,BASICO,0,1,2,0,0,0
AMBOS SEXOS,Aragón,ARTES GRÁFICAS,67.8,BASICO,0,1,3,0,0,0
AMBOS SEXOS,Aragón,COMERCIO Y MARKETING,72.4,BASICO,0,1,5,0,0,0
AMBOS SEXOS,Aragón,EDIFICACIÓN Y OBRA CIVIL,90.8,BASICO,0,1,6,0,1,0
AMBOS SEXOS,Aragón,ELECTRICIDAD Y ELECTRÓNICA,60.1,BASICO,0,1,7,0,0,0
AMBOS SEXOS,Aragón,FABRICACIÓN MECÁNICA,75.6,BASICO,0,1,9,0,0,0
AMBOS SEXOS,Aragón,HOSTELERÍA Y TURISMO,75.7,BASICO,0,1,10,0,0,0
AMBOS SEXOS,Aragón,IMAGEN PERSONAL,67.1,BASICO,0,1,11,0,0,0
AMBOS SEXOS,Aragón,INDUSTRIAS ALIMENTARIAS,69.3,BASICO,0,1,13,0,0,0
AMBOS SEXOS,Aragón,INFORMÁTICA Y COMUNICACIONES,71.2,BASICO,0,1,15,0,0,0
AMBOS SEXOS,Aragón,INSTALACIÓN Y MANTENIMIENTO,47.1,BASICO,0,1,16,0,0,0
AMBOS SEXOS,Aragón,"MADERA, MUEBLE Y CORCHO",72.6,BASICO,0,1,17,0,0,0
AMBOS SEXOS,Aragón,"TEXTIL, CONFECCIÓN Y PIEL",70.7,BASICO,0,1,23,0,0,0
AMBOS SEXOS,Aragón,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,72.6,BASICO,0,1,24,0,0,0
AMBOS SEXOS,Principado de Asturias,ADMINISTRACIÓN Y GESTIÓN,60.3,BASICO,0,16,1,0,0,0
