,exitoso,exitoso,Porcentajes total de módulos aprobados,Porcentajes total de módulos aprobados
,mean,count,mean,std
Comunidad autónoma,,,,
Andalucía,0.552,192,80.751,9.533
Aragón,0.517,174,79.114,9.853
Canarias,0.397,174,76.719,12.259
Cantabria,0.852,162,87.544,10.639
Castilla La Mancha,0.76,171,89.523,13.622
Castilla y León,0.274,168,73.837,10.8
Ceuta,0.171,111,53.34,29.742
Comunidad Foral de Navarra,0.766,167,85.154,9.875
Comunidad de Madrid,0.364,165,74.048,11.844
Comunitat Valenciana,0.324,204,76.863,7.778
Extremadura,0.518,164,80.187,12.688
Galicia,0.576,184,80.525,8.974
Islas Baleares,0.735,155,85.646,10.074
La Rioja,0.52,148,78.453,13.404
Melilla,0.284,102,68.762,15.128
País Vasco,0.916,179,90.347,11.397
Principado de Asturias,0.296,152,72.118,13.621
Región de Murcia,0.414,174,76.409,12.547
