,exitoso,exitoso,Porcentajes total de módulos aprobados,Porcentajes total de módulos aprobados
,mean,count,mean,std
Familia profesional,,,,
ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.786,126,83.841,15.129
ADMINISTRACIÓN Y GESTIÓN,0.462,160,76.05,19.206
AGRARIA,0.49,155,78.86,11.69
ARTES GRÁFICAS,0.543,129,81.15,11.74
ARTES Y ARTESANÍAS,0.333,3,78.767,1.35
COMERCIO Y MARKETING,0.55,160,78.681,16.132
EDIFICACIÓN Y OBRA CIVIL,0.44,125,78.102,12.995
ELECTRICIDAD Y ELECTRÓNICA,0.4,160,74.666,12.987
ENERGÍA Y AGUA,0.706,68,83.063,15.408
FABRICACIÓN MECÁNICA,0.352,142,76.956,13.173
HOSTELERÍA Y TURISMO,0.364,162,76.242,11.683
IMAGEN PERSONAL,0.478,159,77.328,15.024
IMAGEN Y SONIDO,0.781,96,85.328,9.639
INDUSTRIAS ALIMENTARIAS,0.5,132,77.96,14.445
INDUSTRIAS EXTRACTIVAS,0.875,8,91.212,7.19
INFORMÁTICA Y COMUNICACIONES,0.431,160,74.64,18.954
INSTALACIÓN Y MANTENIMIENTO,0.398,123,74.697,17.918
"MADERA, MUEBLE Y CORCHO",0.441,136,78.191,14.473
MARÍTIMO-PESQUERA,0.607,56,83.673,9.34
QUÍMICA,0.581,93,82.02,10.622
SANIDAD,0.796,108,85.921,11.172
SEGURIDAD Y MEDIO AMBIENTE,0.701,77,83.819,15.078
SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,0.798,129,86.784,10.72
"TEXTIL, CONFECCIÓN Y PIEL",0.518,110,78.255,15.311
TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,0.414,157,76.21,14.152
VIDRIO Y CERÁMICA,0.417,12,73.167,11.126
