Comunidad_Autonoma,Correcto
Andalucía,0.6086956521739131
Aragón,0.4090909090909091
Canarias,0.5434782608695652
Cantabria,0.42857142857142855
Castilla La Mancha,0.40476190476190477
Castilla y León,0.5681818181818182
Ceuta,0.4772727272727273
Comunidad Foral de Navarra,0.3968253968253968
Comunidad de Madrid,0.4393939393939394
Comunitat Valenciana,0.46
Extremadura,0.4318181818181818
Galicia,0.4166666666666667
Islas Baleares,0.3333333333333333
La Rioja,0.44642857142857145
Melilla,0.45454545454545453
País Vasco,0.4927536231884058
Principado de Asturias,0.5476190476190477
Región de Murcia,0.5
