Familia_Profesional,mean,std
ACTIVIDADES FÍSICAS Y DEPORTIVAS,8.73821651903804,9.099340590641033
ADMINISTRACIÓN Y GESTIÓN,10.267939818120695,9.346921481849774
AGRARIA,9.568505756619192,7.952976713957204
ARTES GRÁFICAS,9.114327378267467,7.316295070714876
ARTES Y ARTESANÍAS,13.882309040614349,1.8579551058460162
COMERCIO Y MARKETING,8.414329260104486,7.238828859343782
EDIFICACIÓN Y OBRA CIVIL,10.964237777731485,7.295727742683701
ELECTRICIDAD Y ELECTRÓNICA,8.089665697631974,6.499998373784408
ENERGÍA Y AGUA,14.967527675338445,16.340222220018525
FABRICACIÓN MECÁNICA,10.769041629414934,7.95169964167726
HOSTELERÍA Y TURISMO,9.377421110512422,7.0449678849123245
IMAGEN PERSONAL,8.811499913963111,6.833065083423288
IMAGEN Y SONIDO,11.032172763978327,7.693933582808872
INDUSTRIAS ALIMENTARIAS,12.382279808940163,14.69743069471699
INFORMÁTICA Y COMUNICACIONES,10.391697562938608,8.040386777210227
INSTALACIÓN Y MANTENIMIENTO,11.439704241286902,8.668328343716974
"MADERA, MUEBLE Y CORCHO",11.413076582048172,10.251761430731618
MARÍTIMO-PESQUERA,11.829898655990224,15.658252435088407
QUÍMICA,10.10319172304011,11.941761265091424
SANIDAD,8.463932198906045,8.21657827462974
SEGURIDAD Y MEDIO AMBIENTE,7.5651312892222915,7.184131235111528
SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,9.087760427523813,7.10382147249009
"TEXTIL, CONFECCIÓN Y PIEL",10.41947768390326,15.484123798633576
TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,9.008942247700467,8.079892850002283
VIDRIO Y CERÁMICA,15.115233201333467,2.670583681084223
