Nivel_Real,Nivel_Predicho,Correcto,Comunidad_Autonoma,Familia_Profesional,Sexo,Porcentaje
SUPERIOR,MEDIO,False,Galicia,"TEXTIL, CONFECCIÓN Y PIEL",AMBOS SEXOS,85.8
BASICO,MEDIO,False,Galicia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,AMBOS SEXOS,88.9
SUPERIOR,SUPERIOR,True,Comunidad de Madrid,ACTIVIDADES FÍSICAS Y DEPORTIVAS,AMBOS SEXOS,88.7
MEDIO,SUPERIOR,False,Comunidad de Madrid,ADMINISTRACIÓN Y GESTIÓN,AMBOS SEXOS,80.4
BASICO,BASICO,True,Comunidad de Madrid,AGRARIA,AMBOS SEXOS,65.9
MEDIO,SUPERIOR,False,Comunidad de Madrid,ARTES GRÁFICAS,AMBOS SEXOS,92.1
SUPERIOR,SUPERIOR,True,Comunidad de Madrid,COMERCIO Y MARKETING,AMBOS SEXOS,84.7
SUPERIOR,BASICO,False,Comunidad de Madrid,EDIFICACIÓN Y OBRA CIVIL,AMBOS SEXOS,77.0
MEDIO,SUPERIOR,False,Comunidad de Madrid,ELECTRICIDAD Y ELECTRÓNICA,AMBOS SEXOS,83.3
BASICO,MEDIO,False,Comunidad de Madrid,ENERGÍA Y AGUA,AMBOS SEXOS,74.6
BASICO,BASICO,True,Comunidad de Madrid,FABRICACIÓN MECÁNICA,AMBOS SEXOS,72.2
BASICO,MEDIO,False,Comunidad de Madrid,HOSTELERÍA Y TURISMO,AMBOS SEXOS,79.1
BASICO,SUPERIOR,False,Comunidad de Madrid,IMAGEN PERSONAL,AMBOS SEXOS,89.6
MEDIO,MEDIO,True,Comunidad de Madrid,IMAGEN Y SONIDO,AMBOS SEXOS,92.7
BASICO,MEDIO,False,Comunidad de Madrid,INDUSTRIAS ALIMENTARIAS,AMBOS SEXOS,75.7
MEDIO,MEDIO,True,Comunidad de Madrid,INFORMÁTICA Y COMUNICACIONES,AMBOS SEXOS,84.6
SUPERIOR,SUPERIOR,True,Comunidad de Madrid,INSTALACIÓN Y MANTENIMIENTO,AMBOS SEXOS,74.3
MEDIO,SUPERIOR,False,Comunidad de Madrid,"MADERA, MUEBLE Y CORCHO",AMBOS SEXOS,85.2
BASICO,BASICO,True,Comunidad de Madrid,QUÍMICA,AMBOS SEXOS,72.2
SUPERIOR,MEDIO,False,Comunidad de Madrid,SANIDAD,AMBOS SEXOS,90.2
SUPERIOR,SUPERIOR,True,Comunidad de Madrid,SEGURIDAD Y MEDIO AMBIENTE,AMBOS SEXOS,75.8
MEDIO,MEDIO,True,Comunidad de Madrid,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,AMBOS SEXOS,88.8
MEDIO,MEDIO,True,Comunidad de Madrid,"TEXTIL, CONFECCIÓN Y PIEL",AMBOS SEXOS,86.6
SUPERIOR,SUPERIOR,True,Comunidad de Madrid,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,AMBOS SEXOS,82.2
BASICO,BASICO,True,Región de Murcia,ACTIVIDADES FÍSICAS Y DEPORTIVAS,AMBOS SEXOS,89.3
SUPERIOR,MEDIO,False,Región de Murcia,ADMINISTRACIÓN Y GESTIÓN,AMBOS SEXOS,85.2
MEDIO,MEDIO,True,Región de Murcia,AGRARIA,AMBOS SEXOS,87.4
SUPERIOR,SUPERIOR,True,Región de Murcia,ARTES GRÁFICAS,AMBOS SEXOS,58.8
SUPERIOR,SUPERIOR,True,Región de Murcia,COMERCIO Y MARKETING,AMBOS SEXOS,87.8
MEDIO,SUPERIOR,False,Región de Murcia,EDIFICACIÓN Y OBRA CIVIL,AMBOS SEXOS,70.3
SUPERIOR,MEDIO,False,Región de Murcia,ELECTRICIDAD Y ELECTRÓNICA,AMBOS SEXOS,80.1
BASICO,BASICO,True,Región de Murcia,ENERGÍA Y AGUA,AMBOS SEXOS,80.0
BASICO,MEDIO,False,Región de Murcia,FABRICACIÓN MECÁNICA,AMBOS SEXOS,76.6
MEDIO,SUPERIOR,False,Región de Murcia,HOSTELERÍA Y TURISMO,AMBOS SEXOS,76.5
BASICO,MEDIO,False,Región de Murcia,IMAGEN PERSONAL,AMBOS SEXOS,84.6
SUPERIOR,SUPERIOR,True,Región de Murcia,IMAGEN Y SONIDO,AMBOS SEXOS,92.8
SUPERIOR,BASICO,False,Región de Murcia,INDUSTRIAS ALIMENTARIAS,AMBOS SEXOS,85.2
SUPERIOR,SUPERIOR,True,Región de Murcia,INFORMÁTICA Y COMUNICACIONES,AMBOS SEXOS,79.1
MEDIO,SUPERIOR,False,Región de Murcia,INSTALACIÓN Y MANTENIMIENTO,AMBOS SEXOS,77.6
SUPERIOR,SUPERIOR,True,Región de Murcia,MARÍTIMO-PESQUERA,AMBOS SEXOS,78.7
MEDIO,SUPERIOR,False,Región de Murcia,QUÍMICA,AMBOS SEXOS,89.4
SUPERIOR,MEDIO,False,Región de Murcia,SANIDAD,AMBOS SEXOS,89.1
SUPERIOR,SUPERIOR,True,Región de Murcia,SEGURIDAD Y MEDIO AMBIENTE,AMBOS SEXOS,83.0
BASICO,MEDIO,False,Región de Murcia,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,AMBOS SEXOS,91.8
BASICO,BASICO,True,Región de Murcia,"TEXTIL, CONFECCIÓN Y PIEL",AMBOS SEXOS,92.2
