Porcentaje_Real,Porcentaje_Predicho,Error,Error_Absoluto,Error_Porcentual,Comunidad_Autonoma,Familia_Profesional,Nivel_Educativo,Sexo
79.4,74.23324679198718,5.166753208012821,5.166753208012821,6.507245853920429,Galicia,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,AMBOS SEXOS
83.3,78.47192328704286,4.828076712957142,4.828076712957142,5.7960104597324635,Galicia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,AMBOS SEXOS
79.9,82.91822041657117,-3.018220416571168,3.018220416571168,3.7774973924545283,Comunidad de Madrid,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,AMBOS SEXOS
100.0,80.42442094474174,19.57557905525826,19.57557905525826,19.57557905525826,Comunidad de Madrid,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,AMBOS SEXOS
88.8,87.10230194660517,1.6976980533948307,1.6976980533948307,1.9118221322013862,Comunidad de Madrid,AGRARIA,SUPERIOR,AMBOS SEXOS
90.3,89.94583317311029,0.3541668268897098,0.3541668268897098,0.39221132545925785,Comunidad de Madrid,ARTES GRÁFICAS,SUPERIOR,AMBOS SEXOS
86.2,86.1279871479804,0.07201285201959706,0.07201285201959706,0.0835415916700662,Comunidad de Madrid,COMERCIO Y MARKETING,SUPERIOR,AMBOS SEXOS
90.8,85.28371844004587,5.516281559954123,5.516281559954123,6.075199955896612,Comunidad de Madrid,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,AMBOS SEXOS
96.1,88.12177733212806,7.978222667871933,7.978222667871933,8.302000694975998,Comunidad de Madrid,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,AMBOS SEXOS
85.7,77.68843725479569,8.011562745204316,8.011562745204316,9.348381266282749,Comunidad de Madrid,ENERGÍA Y AGUA,SUPERIOR,AMBOS SEXOS
54.5,72.02336280620608,-17.52336280620608,17.52336280620608,32.15295927744235,Comunidad de Madrid,FABRICACIÓN MECÁNICA,SUPERIOR,AMBOS SEXOS
44.8,77.40592270979636,-32.60592270979636,32.60592270979636,72.78107747722402,Comunidad de Madrid,HOSTELERÍA Y TURISMO,SUPERIOR,AMBOS SEXOS
88.4,73.94956018168499,14.450439818315019,14.450439818315019,16.34665137818441,Comunidad de Madrid,IMAGEN PERSONAL,SUPERIOR,AMBOS SEXOS
87.1,71.39799051817255,15.702009481827446,15.702009481827446,18.027565421156655,Comunidad de Madrid,IMAGEN Y SONIDO,SUPERIOR,AMBOS SEXOS
95.3,77.9264732886483,17.3735267113517,17.3735267113517,18.230353317263067,Comunidad de Madrid,INDUSTRIAS ALIMENTARIAS,SUPERIOR,AMBOS SEXOS
94.6,85.01897921505014,9.581020784949857,9.581020784949857,10.127928948149954,Comunidad de Madrid,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,AMBOS SEXOS
87.3,79.33129706672138,7.968702933278621,7.968702933278621,9.127952959082041,Comunidad de Madrid,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,AMBOS SEXOS
76.0,82.16837131595626,-6.168371315956264,6.168371315956264,8.116278047310873,Comunidad de Madrid,"MADERA, MUEBLE Y CORCHO",SUPERIOR,AMBOS SEXOS
