Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Andalucía,ACTIVIDADES FÍSICAS Y DEPORTIVAS,96.5,SUPERIOR
AMBOS SEXOS,Andalucía,ADMINISTRACIÓN Y GESTIÓN,88.6,SUPERIOR
AMBOS SEXOS,Andalucía,AGRARIA,87.5,SUPERIOR
AMBOS SEXOS,Andalucía,ARTES GRÁFICAS,89.5,SUPERIOR
AMBOS SEXOS,Andalucía,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Andalucía,COMERCIO Y MARKETING,90.4,SUPERIOR
AMBOS SEXOS,Andalucía,EDIFICACIÓN Y OBRA CIVIL,77.4,SUPERIOR
AMBOS SEXOS,Andalucía,ELECTRICIDAD Y ELECTRÓNICA,81.5,SUPERIOR
AMBOS SEXOS,Andalucía,ENERGÍA Y AGUA,83.9,SUPERIOR
AMBOS SEXOS,Andalucía,FABRICACIÓN MECÁNICA,82.1,SUPERIOR
AMBOS SEXOS,Andalucía,HOSTELERÍA Y TURISMO,86.2,SUPERIOR
AMBOS SEXOS,Andalucía,IMAGEN PERSONAL,92.4,SUPERIOR
AMBOS SEXOS,Andalucía,IMAGEN Y SONIDO,91.0,SUPERIOR
AMBOS SEXOS,Andalucía,INDUSTRIAS ALIMENTARIAS,83.4,SUPERIOR
AMBOS SEXOS,Andalucía,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Andalucía,INFORMÁTICA Y COMUNICACIONES,82.9,SUPERIOR
AMBOS SEXOS,Andalucía,INSTALACIÓN Y MANTENIMIENTO,81.5,SUPERIOR
AMBOS SEXOS,Andalucía,"MADERA, MUEBLE Y CORCHO",83.3,SUPERIOR
AMBOS SEXOS,Andalucía,MARÍTIMO-PESQUERA,91.6,SUPERIOR
AMBOS SEXOS,Andalucía,QUÍMICA,85.0,SUPERIOR
AMBOS SEXOS,Andalucía,SANIDAD,97.4,SUPERIOR
AMBOS SEXOS,Andalucía,SEGURIDAD Y MEDIO AMBIENTE,89.4,SUPERIOR
AMBOS SEXOS,Andalucía,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,95.5,SUPERIOR
AMBOS SEXOS,Andalucía,"TEXTIL, CONFECCIÓN Y PIEL",91.7,SUPERIOR
AMBOS SEXOS,Andalucía,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,88.7,SUPERIOR
AMBOS SEXOS,Andalucía,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Aragón,ACTIVIDADES FÍSICAS Y DEPORTIVAS,91.9,SUPERIOR
AMBOS SEXOS,Aragón,ADMINISTRACIÓN Y GESTIÓN,80.2,SUPERIOR
AMBOS SEXOS,Aragón,AGRARIA,81.3,SUPERIOR
AMBOS SEXOS,Aragón,ARTES GRÁFICAS,86.8,SUPERIOR
AMBOS SEXOS,Aragón,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Aragón,COMERCIO Y MARKETING,74.1,SUPERIOR
AMBOS SEXOS,Aragón,EDIFICACIÓN Y OBRA CIVIL,82.5,SUPERIOR
AMBOS SEXOS,Aragón,ELECTRICIDAD Y ELECTRÓNICA,84.1,SUPERIOR
AMBOS SEXOS,Aragón,ENERGÍA Y AGUA,89.1,SUPERIOR
AMBOS SEXOS,Aragón,FABRICACIÓN MECÁNICA,82.0,SUPERIOR
AMBOS SEXOS,Aragón,HOSTELERÍA Y TURISMO,79.2,SUPERIOR
AMBOS SEXOS,Aragón,IMAGEN PERSONAL,90.7,SUPERIOR
AMBOS SEXOS,Aragón,IMAGEN Y SONIDO,89.3,SUPERIOR
AMBOS SEXOS,Aragón,INDUSTRIAS ALIMENTARIAS,75.9,SUPERIOR
AMBOS SEXOS,Aragón,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Aragón,INFORMÁTICA Y COMUNICACIONES,81.1,SUPERIOR
AMBOS SEXOS,Aragón,INSTALACIÓN Y MANTENIMIENTO,87.6,SUPERIOR
AMBOS SEXOS,Aragón,"MADERA, MUEBLE Y CORCHO",82.5,SUPERIOR
AMBOS SEXOS,Aragón,MARÍTIMO-PESQUERA,,SUPERIOR
AMBOS SEXOS,Aragón,QUÍMICA,86.6,SUPERIOR
AMBOS SEXOS,Aragón,SANIDAD,83.9,SUPERIOR
AMBOS SEXOS,Aragón,SEGURIDAD Y MEDIO AMBIENTE,93.0,SUPERIOR
AMBOS SEXOS,Aragón,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,94.4,SUPERIOR
AMBOS SEXOS,Aragón,"TEXTIL, CONFECCIÓN Y PIEL",92.7,SUPERIOR
AMBOS SEXOS,Aragón,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,86.3,SUPERIOR
AMBOS SEXOS,Aragón,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Principado de Asturias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,91.1,SUPERIOR
AMBOS SEXOS,Principado de Asturias,ADMINISTRACIÓN Y GESTIÓN,81.4,SUPERIOR
AMBOS SEXOS,Principado de Asturias,AGRARIA,85.7,SUPERIOR
AMBOS SEXOS,Principado de Asturias,ARTES GRÁFICAS,65.9,SUPERIOR
AMBOS SEXOS,Principado de Asturias,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Principado de Asturias,COMERCIO Y MARKETING,81.9,SUPERIOR
AMBOS SEXOS,Principado de Asturias,EDIFICACIÓN Y OBRA CIVIL,68.3,SUPERIOR
AMBOS SEXOS,Principado de Asturias,ELECTRICIDAD Y ELECTRÓNICA,75.1,SUPERIOR
AMBOS SEXOS,Principado de Asturias,ENERGÍA Y AGUA,80.0,SUPERIOR
AMBOS SEXOS,Principado de Asturias,FABRICACIÓN MECÁNICA,71.3,SUPERIOR
AMBOS SEXOS,Principado de Asturias,HOSTELERÍA Y TURISMO,79.5,SUPERIOR
AMBOS SEXOS,Principado de Asturias,IMAGEN PERSONAL,82.4,SUPERIOR
AMBOS SEXOS,Principado de Asturias,IMAGEN Y SONIDO,80.5,SUPERIOR
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS ALIMENTARIAS,85.0,SUPERIOR
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Principado de Asturias,INFORMÁTICA Y COMUNICACIONES,77.9,SUPERIOR
AMBOS SEXOS,Principado de Asturias,INSTALACIÓN Y MANTENIMIENTO,77.8,SUPERIOR
AMBOS SEXOS,Principado de Asturias,"MADERA, MUEBLE Y CORCHO",,SUPERIOR
AMBOS SEXOS,Principado de Asturias,MARÍTIMO-PESQUERA,79.6,SUPERIOR
AMBOS SEXOS,Principado de Asturias,QUÍMICA,80.7,SUPERIOR
AMBOS SEXOS,Principado de Asturias,SANIDAD,92.9,SUPERIOR
AMBOS SEXOS,Principado de Asturias,SEGURIDAD Y MEDIO AMBIENTE,86.2,SUPERIOR
AMBOS SEXOS,Principado de Asturias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,84.5,SUPERIOR
AMBOS SEXOS,Principado de Asturias,"TEXTIL, CONFECCIÓN Y PIEL",,SUPERIOR
AMBOS SEXOS,Principado de Asturias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,78.1,SUPERIOR
AMBOS SEXOS,Principado de Asturias,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Islas Baleares,ACTIVIDADES FÍSICAS Y DEPORTIVAS,94.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,ADMINISTRACIÓN Y GESTIÓN,91.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,AGRARIA,92.7,SUPERIOR
AMBOS SEXOS,Islas Baleares,ARTES GRÁFICAS,98.6,SUPERIOR
AMBOS SEXOS,Islas Baleares,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Islas Baleares,COMERCIO Y MARKETING,96.2,SUPERIOR
AMBOS SEXOS,Islas Baleares,EDIFICACIÓN Y OBRA CIVIL,87.0,SUPERIOR
AMBOS SEXOS,Islas Baleares,ELECTRICIDAD Y ELECTRÓNICA,85.6,SUPERIOR
AMBOS SEXOS,Islas Baleares,ENERGÍA Y AGUA,97.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,FABRICACIÓN MECÁNICA,,SUPERIOR
AMBOS SEXOS,Islas Baleares,HOSTELERÍA Y TURISMO,92.8,SUPERIOR
AMBOS SEXOS,Islas Baleares,IMAGEN PERSONAL,93.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,IMAGEN Y SONIDO,94.5,SUPERIOR
AMBOS SEXOS,Islas Baleares,INDUSTRIAS ALIMENTARIAS,87.2,SUPERIOR
AMBOS SEXOS,Islas Baleares,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Islas Baleares,INFORMÁTICA Y COMUNICACIONES,90.4,SUPERIOR
AMBOS SEXOS,Islas Baleares,INSTALACIÓN Y MANTENIMIENTO,91.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,"MADERA, MUEBLE Y CORCHO",99.1,SUPERIOR
AMBOS SEXOS,Islas Baleares,MARÍTIMO-PESQUERA,91.5,SUPERIOR
AMBOS SEXOS,Islas Baleares,QUÍMICA,86.5,SUPERIOR
AMBOS SEXOS,Islas Baleares,SANIDAD,90.4,SUPERIOR
AMBOS SEXOS,Islas Baleares,SEGURIDAD Y MEDIO AMBIENTE,,SUPERIOR
