Sexo;Comunidad autónoma;Familia profesional;Total
AMBOS SEXOS;Porcentajes total de módulos aprobados;ACTIVIDADES FÍSICAS Y DEPORTIVAS;73,8
AMBOS SEXOS;Porcentajes total de módulos aprobados;ADMINISTRACIÓN Y GESTIÓN;73,7
AMBOS SEXOS;Porcentajes total de módulos aprobados;AGRARIA;74,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;ARTES GRÁFICAS;76,3
AMBOS SEXOS;Porcentajes total de módulos aprobados;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Porcentajes total de módulos aprobados;COMERCIO Y MARKETING;75,2
AMBOS SEXOS;Porcentajes total de módulos aprobados;EDIFICACIÓN Y OBRA CIVIL;68,2
AMBOS SEXOS;Porcentajes total de módulos aprobados;ELECTRICIDAD Y ELECTRÓNICA;69,6
AMBOS SEXOS;Porcentajes total de módulos aprobados;ENERGÍA Y AGUA;.
AMBOS SEXOS;Porcentajes total de módulos aprobados;FABRICACIÓN MECÁNICA;72,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;HOSTELERÍA Y TURISMO;73,6
AMBOS SEXOS;Porcentajes total de módulos aprobados;IMAGEN PERSONAL;71,8
AMBOS SEXOS;Porcentajes total de módulos aprobados;IMAGEN Y SONIDO;.
AMBOS SEXOS;Porcentajes total de módulos aprobados;INDUSTRIAS ALIMENTARIAS;75,9
AMBOS SEXOS;Porcentajes total de módulos aprobados;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Porcentajes total de módulos aprobados;INFORMÁTICA Y COMUNICACIONES;73,5
AMBOS SEXOS;Porcentajes total de módulos aprobados;INSTALACIÓN Y MANTENIMIENTO;76,0
AMBOS SEXOS;Porcentajes total de módulos aprobados;MADERA, MUEBLE Y CORCHO;73,0
AMBOS SEXOS;Porcentajes total de módulos aprobados;MARÍTIMO-PESQUERA;69,7
AMBOS SEXOS;Porcentajes total de módulos aprobados;QUÍMICA;.
AMBOS SEXOS;Porcentajes total de módulos aprobados;SANIDAD;.
AMBOS SEXOS;Porcentajes total de módulos aprobados;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Porcentajes total de módulos aprobados;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;81,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;TEXTIL, CONFECCIÓN Y PIEL;66,5
AMBOS SEXOS;Porcentajes total de módulos aprobados;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;67,8
AMBOS SEXOS;Porcentajes total de módulos aprobados;VIDRIO Y CERÁMICA;79,3
