Sexo;Comunidad autónoma (1);Familia profesional (2);Total
AMBOS SEXOS;Porcentajes total de módulos aprobados;ACTIVIDADES FÍSICAS Y DEPORTIVAS;85,6
AMBOS SEXOS;Porcentajes total de módulos aprobados;ADMINISTRACIÓN Y GESTIÓN;77,5
AMBOS SEXOS;Porcentajes total de módulos aprobados;AGRARIA;81,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;ARTES GRÁFICAS;80,0
AMBOS SEXOS;Porcentajes total de módulos aprobados;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Porcentajes total de módulos aprobados;COMERCIO Y MARKETING;81,6
AMBOS SEXOS;Porcentajes total de módulos aprobados;EDIFICACIÓN Y OBRA CIVIL;81,5
AMBOS SEXOS;Porcentajes total de módulos aprobados;ELECTRICIDAD Y ELECTRÓNICA;73,8
AMBOS SEXOS;Porcentajes total de módulos aprobados;ENERGÍA Y AGUA;65,5
AMBOS SEXOS;Porcentajes total de módulos aprobados;FABRICACIÓN MECÁNICA;75,6
AMBOS SEXOS;Porcentajes total de módulos aprobados;HOSTELERÍA Y TURISMO;74,6
AMBOS SEXOS;Porcentajes total de módulos aprobados;IMAGEN PERSONAL;79,9
AMBOS SEXOS;Porcentajes total de módulos aprobados;IMAGEN Y SONIDO;83,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;INDUSTRIAS ALIMENTARIAS;76,9
AMBOS SEXOS;Porcentajes total de módulos aprobados;INDUSTRIAS EXTRACTIVAS;88,0
AMBOS SEXOS;Porcentajes total de módulos aprobados;INFORMÁTICA Y COMUNICACIONES;80,8
AMBOS SEXOS;Porcentajes total de módulos aprobados;INSTALACIÓN Y MANTENIMIENTO;75,3
AMBOS SEXOS;Porcentajes total de módulos aprobados;MADERA, MUEBLE Y CORCHO;76,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;MARÍTIMO-PESQUERA;81,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;QUÍMICA;74,7
AMBOS SEXOS;Porcentajes total de módulos aprobados;SANIDAD;85,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;SEGURIDAD Y MEDIO AMBIENTE;79,4
AMBOS SEXOS;Porcentajes total de módulos aprobados;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;86,9
AMBOS SEXOS;Porcentajes total de módulos aprobados;TEXTIL, CONFECCIÓN Y PIEL;80,0
AMBOS SEXOS;Porcentajes total de módulos aprobados;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;73,0
AMBOS SEXOS;Porcentajes total de módulos aprobados;VIDRIO Y CERÁMICA;74,4
AMBOS SEXOS;Andalucía;ACTIVIDADES FÍSICAS Y DEPORTIVAS;88,5
AMBOS SEXOS;Andalucía;ADMINISTRACIÓN Y GESTIÓN;74,0
AMBOS SEXOS;Andalucía;AGRARIA;83,5
AMBOS SEXOS;Andalucía;ARTES GRÁFICAS;80,9
AMBOS SEXOS;Andalucía;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Andalucía;COMERCIO Y MARKETING;79,3
AMBOS SEXOS;Andalucía;EDIFICACIÓN Y OBRA CIVIL;75,2
AMBOS SEXOS;Andalucía;ELECTRICIDAD Y ELECTRÓNICA;70,8
AMBOS SEXOS;Andalucía;ENERGÍA Y AGUA;100,0
AMBOS SEXOS;Andalucía;FABRICACIÓN MECÁNICA;70,5
AMBOS SEXOS;Andalucía;HOSTELERÍA Y TURISMO;75,5
AMBOS SEXOS;Andalucía;IMAGEN PERSONAL;77,7
AMBOS SEXOS;Andalucía;IMAGEN Y SONIDO;82,7
AMBOS SEXOS;Andalucía;INDUSTRIAS ALIMENTARIAS;78,8
AMBOS SEXOS;Andalucía;INDUSTRIAS EXTRACTIVAS;84,8
AMBOS SEXOS;Andalucía;INFORMÁTICA Y COMUNICACIONES;78,3
AMBOS SEXOS;Andalucía;INSTALACIÓN Y MANTENIMIENTO;73,0
AMBOS SEXOS;Andalucía;MADERA, MUEBLE Y CORCHO;72,4
AMBOS SEXOS;Andalucía;MARÍTIMO-PESQUERA;84,8
AMBOS SEXOS;Andalucía;QUÍMICA;71,7
AMBOS SEXOS;Andalucía;SANIDAD;88,9
AMBOS SEXOS;Andalucía;SEGURIDAD Y MEDIO AMBIENTE;90,6
AMBOS SEXOS;Andalucía;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;87,0
AMBOS SEXOS;Andalucía;TEXTIL, CONFECCIÓN Y PIEL;82,2
AMBOS SEXOS;Andalucía;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;70,9
AMBOS SEXOS;Andalucía;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Aragón;ACTIVIDADES FÍSICAS Y DEPORTIVAS;88,6
AMBOS SEXOS;Aragón;ADMINISTRACIÓN Y GESTIÓN;72,7
AMBOS SEXOS;Aragón;AGRARIA;82,5
AMBOS SEXOS;Aragón;ARTES GRÁFICAS;85,0
AMBOS SEXOS;Aragón;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Aragón;COMERCIO Y MARKETING;79,1
AMBOS SEXOS;Aragón;EDIFICACIÓN Y OBRA CIVIL;77,3
AMBOS SEXOS;Aragón;ELECTRICIDAD Y ELECTRÓNICA;70,7
AMBOS SEXOS;Aragón;ENERGÍA Y AGUA;.
AMBOS SEXOS;Aragón;FABRICACIÓN MECÁNICA;72,7
AMBOS SEXOS;Aragón;HOSTELERÍA Y TURISMO;77,5
AMBOS SEXOS;Aragón;IMAGEN PERSONAL;86,0
AMBOS SEXOS;Aragón;IMAGEN Y SONIDO;89,3
AMBOS SEXOS;Aragón;INDUSTRIAS ALIMENTARIAS;73,6
AMBOS SEXOS;Aragón;INDUSTRIAS EXTRACTIVAS;92,6
AMBOS SEXOS;Aragón;INFORMÁTICA Y COMUNICACIONES;84,2
AMBOS SEXOS;Aragón;INSTALACIÓN Y MANTENIMIENTO;77,4
AMBOS SEXOS;Aragón;MADERA, MUEBLE Y CORCHO;80,1
AMBOS SEXOS;Aragón;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Aragón;QUÍMICA;68,3
AMBOS SEXOS;Aragón;SANIDAD;73,7
AMBOS SEXOS;Aragón;SEGURIDAD Y MEDIO AMBIENTE;85,6
AMBOS SEXOS;Aragón;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;84,4
AMBOS SEXOS;Aragón;TEXTIL, CONFECCIÓN Y PIEL;80,9
AMBOS SEXOS;Aragón;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;68,0
AMBOS SEXOS;Aragón;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Principado de Asturias;ACTIVIDADES FÍSICAS Y DEPORTIVAS;52,9
AMBOS SEXOS;Principado de Asturias;ADMINISTRACIÓN Y GESTIÓN;62,2
AMBOS SEXOS;Principado de Asturias;AGRARIA;71,0
AMBOS SEXOS;Principado de Asturias;ARTES GRÁFICAS;59,9
AMBOS SEXOS;Principado de Asturias;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Principado de Asturias;COMERCIO Y MARKETING;67,5
AMBOS SEXOS;Principado de Asturias;EDIFICACIÓN Y OBRA CIVIL;.
AMBOS SEXOS;Principado de Asturias;ELECTRICIDAD Y ELECTRÓNICA;63,9
AMBOS SEXOS;Principado de Asturias;ENERGÍA Y AGUA;.
AMBOS SEXOS;Principado de Asturias;FABRICACIÓN MECÁNICA;68,0
AMBOS SEXOS;Principado de Asturias;HOSTELERÍA Y TURISMO;63,1
AMBOS SEXOS;Principado de Asturias;IMAGEN PERSONAL;70,3
AMBOS SEXOS;Principado de Asturias;IMAGEN Y SONIDO;85,1
AMBOS SEXOS;Principado de Asturias;INDUSTRIAS ALIMENTARIAS;73,5
AMBOS SEXOS;Principado de Asturias;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Principado de Asturias;INFORMÁTICA Y COMUNICACIONES;74,5
AMBOS SEXOS;Principado de Asturias;INSTALACIÓN Y MANTENIMIENTO;66,7
AMBOS SEXOS;Principado de Asturias;MADERA, MUEBLE Y CORCHO;66,9
AMBOS SEXOS;Principado de Asturias;MARÍTIMO-PESQUERA;72,7
AMBOS SEXOS;Principado de Asturias;QUÍMICA;74,3
AMBOS SEXOS;Principado de Asturias;SANIDAD;88,3
AMBOS SEXOS;Principado de Asturias;SEGURIDAD Y MEDIO AMBIENTE;.
