Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Andalucía,ACTIVIDADES FÍSICAS Y DEPORTIVAS,61.5,BASICO
AMBOS SEXOS,Andalucía,ADMINISTRACIÓN Y GESTIÓN,75.8,BASICO
AMBOS SEXOS,Andalucía,AGRARIA,73.5,BASICO
AMBOS SEXOS,Andalucía,ARTES GRÁFICAS,76.0,BASICO
AMBOS SEXOS,Andalucía,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Andalucía,COMERCIO Y MARKETING,73.6,BASICO
AMBOS SEXOS,Andalucía,EDIFICACIÓN Y OBRA CIVIL,68.1,BASICO
AMBOS SEXOS,Andalucía,ELECTRICIDAD Y ELECTRÓNICA,73.7,BASICO
AMBOS SEXOS,Andalucía,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Andalucía,FABRICACIÓN MECÁNICA,74.6,BASICO
AMBOS SEXOS,Andalucía,HOSTELERÍA Y TURISMO,72.7,BASICO
AMBOS SEXOS,Andalucía,IMAGEN PERSONAL,72.3,BASICO
AMBOS SEXOS,Andalucía,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Andalucía,INDUSTRIAS ALIMENTARIAS,82.5,BASICO
AMBOS SEXOS,Andalucía,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Andalucía,INFORMÁTICA Y COMUNICACIONES,74.9,BASICO
AMBOS SEXOS,Andalucía,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Andalucía,"MADERA, MUEBLE Y CORCHO",68.9,BASICO
AMBOS SEXOS,Andalucía,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Andalucía,QUÍMICA,,BASICO
AMBOS SEXOS,Andalucía,SANIDAD,,BASICO
AMBOS SEXOS,Andalucía,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Andalucía,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,76.6,BASICO
AMBOS SEXOS,Andalucía,"TEXTIL, CONFECCIÓN Y PIEL",68.2,BASICO
AMBOS SEXOS,Andalucía,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,69.9,BASICO
AMBOS SEXOS,Andalucía,VIDRIO Y CERÁMICA,72.2,BASICO
AMBOS SEXOS,Aragón,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Aragón,ADMINISTRACIÓN Y GESTIÓN,65.5,BASICO
AMBOS SEXOS,Aragón,AGRARIA,69.7,BASICO
AMBOS SEXOS,Aragón,ARTES GRÁFICAS,67.8,BASICO
AMBOS SEXOS,Aragón,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Aragón,COMERCIO Y MARKETING,72.4,BASICO
AMBOS SEXOS,Aragón,EDIFICACIÓN Y OBRA CIVIL,90.8,BASICO
AMBOS SEXOS,Aragón,ELECTRICIDAD Y ELECTRÓNICA,60.1,BASICO
AMBOS SEXOS,Aragón,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Aragón,FABRICACIÓN MECÁNICA,75.6,BASICO
AMBOS SEXOS,Aragón,HOSTELERÍA Y TURISMO,75.7,BASICO
AMBOS SEXOS,Aragón,IMAGEN PERSONAL,67.1,BASICO
AMBOS SEXOS,Aragón,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Aragón,INDUSTRIAS ALIMENTARIAS,69.3,BASICO
AMBOS SEXOS,Aragón,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Aragón,INFORMÁTICA Y COMUNICACIONES,71.2,BASICO
AMBOS SEXOS,Aragón,INSTALACIÓN Y MANTENIMIENTO,47.1,BASICO
AMBOS SEXOS,Aragón,"MADERA, MUEBLE Y CORCHO",72.6,BASICO
AMBOS SEXOS,Aragón,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Aragón,QUÍMICA,,BASICO
AMBOS SEXOS,Aragón,SANIDAD,,BASICO
AMBOS SEXOS,Aragón,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Aragón,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Aragón,"TEXTIL, CONFECCIÓN Y PIEL",70.7,BASICO
AMBOS SEXOS,Aragón,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,72.6,BASICO
AMBOS SEXOS,Aragón,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Principado de Asturias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Principado de Asturias,ADMINISTRACIÓN Y GESTIÓN,60.3,BASICO
AMBOS SEXOS,Principado de Asturias,AGRARIA,100.0,BASICO
AMBOS SEXOS,Principado de Asturias,ARTES GRÁFICAS,,BASICO
AMBOS SEXOS,Principado de Asturias,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Principado de Asturias,COMERCIO Y MARKETING,54.4,BASICO
AMBOS SEXOS,Principado de Asturias,EDIFICACIÓN Y OBRA CIVIL,,BASICO
AMBOS SEXOS,Principado de Asturias,ELECTRICIDAD Y ELECTRÓNICA,48.3,BASICO
AMBOS SEXOS,Principado de Asturias,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Principado de Asturias,FABRICACIÓN MECÁNICA,61.1,BASICO
AMBOS SEXOS,Principado de Asturias,HOSTELERÍA Y TURISMO,68.3,BASICO
AMBOS SEXOS,Principado de Asturias,IMAGEN PERSONAL,58.5,BASICO
AMBOS SEXOS,Principado de Asturias,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Principado de Asturias,INFORMÁTICA Y COMUNICACIONES,66.3,BASICO
AMBOS SEXOS,Principado de Asturias,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Principado de Asturias,"MADERA, MUEBLE Y CORCHO",67.2,BASICO
AMBOS SEXOS,Principado de Asturias,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Principado de Asturias,QUÍMICA,,BASICO
AMBOS SEXOS,Principado de Asturias,SANIDAD,,BASICO
AMBOS SEXOS,Principado de Asturias,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Principado de Asturias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Principado de Asturias,"TEXTIL, CONFECCIÓN Y PIEL",,BASICO
AMBOS SEXOS,Principado de Asturias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,60.4,BASICO
AMBOS SEXOS,Principado de Asturias,VIDRIO Y CERÁMICA,,BASICO
